n,ID,Unnamed: 0,ID_next,length,area,slope
133,3023172.0,159987,3036486.0,77079.14282966786,956377811.4157836,0.005098655558073
134,3023314.0,160129,3038730.0,15190.943164830243,95898880.51203308,0.001448231341615
135,3023606.0,160421,3029448.0,74065.254838865,995633364.9870648,0.004469032081509
136,3023867.0,160682,3031982.0,48708.69595136476,388148810.4229355,0.001211282684696
137,3023880.0,160695,3029445.0,55202.793481649685,1026525260.9304712,0.000905751264501
138,3023983.0,160798,3030965.0,80402.04709475333,1035399165.134981,0.001392999358188
139,3023996.0,160811,3032980.0,64668.43077469965,1031029446.6989684,0.003123626127619
140,3024104.0,160919,3030886.0,93753.6111886616,1041324548.1830049,0.001514608324945
141,3024181.0,160996,3031311.0,65079.6543779737,1047888869.7579348,0.000476339345934
142,3024728.0,161543,3030738.0,58678.46719022536,1099205037.535861,0.000443092692175
143,3024738.0,161553,3029271.0,58023.921308944446,423810793.1451877,0.000465325324296
144,3024750.0,161565,3030886.0,112887.5102124984,1103969807.4077373,0.001559074158591
145,3024800.0,161615,3041469.0,25437.24592946665,191606002.24731505,0.003302244285129
146,3025287.0,162102,3029997.0,53339.90977435648,1171636136.5268252,0.00071241215369
147,3025433.0,162248,3029355.0,67266.02555370328,1181738224.5385902,0.000936579788703
148,3025508.0,162323,3040978.0,81673.43109141993,1193068734.147832,0.000893803517551
149,3025607.0,162422,3038322.0,106527.46421999946,1200723570.4948795,0.00529440932561
150,3025816.0,162631,3035206.0,50702.36137606101,505912951.99578416,0.002958442090842
151,3025858.0,162673,3034304.0,22211.574597586183,171130735.00869054,0.002701294306551
152,3025995.0,162810,3043021.0,21171.67695542987,252681208.2353116,0.004203729359151
153,3026210.0,163025,3030413.0,75846.68087967284,640975188.3732091,0.002847850393647
154,3026395.0,163210,3036848.0,45758.99308209569,395304145.2985341,0.000415218926822
155,3026457.0,163272,3030143.0,91301.5737878631,1313643833.083181,0.005388735150866
156,3026664.0,163479,3029043.0,53815.31010926952,558093078.9256928,0.003753578667295
157,3026990.0,163805,3041952.0,112972.85006318896,1391024415.5477054,0.001363159377796
158,3027368.0,164183,3034953.0,58414.71635984686,563837408.5869745,0.002311061465545
159,3027598.0,164413,3035467.0,7275.930179429361,21945959.7710402,0.003848305207651
160,3028180.0,164995,3030079.0,14401.670272309204,100557657.11566338,0.000277745561755
161,3028312.0,165127,3034731.0,49044.615263798914,350855824.22022974,0.002956491741654
162,3028999.0,165814,3034661.0,41190.95955827289,309639649.26926106,0.000825423839712
163,3029043.0,165858,3032466.0,17981.810110906397,87873408.4609089,0.001946411389295
164,3029175.0,165990,3034304.0,68266.94456707514,539386144.6491535,0.003105456108288
165,3029271.0,166086,3039977.0,45028.90348672915,398696755.3538798,0.000932734238407
166,3029355.0,166170,3031741.0,518.9730453974807,1001134.8565458888,-0.003853764694982
167,3029445.0,166260,3041630.0,54970.88731282537,482311059.1415823,0.000927763812685
168,3029448.0,166263,3032125.0,26181.230923210136,186832707.446613,0.005270951560863
169,3029895.0,166710,3032980.0,79724.9283130465,734891070.3746701,0.003486989651573
