AH4_LAKE_ID,GRAND_ID,Hylak_id,GLWD_ID,CTR_LONWGS84,CTR_LATWGS84,WATERBODY_DAM_BRANCH,TYPE,AREA,EL_SPL,EL_LIM,EL_MIN,EL_ZERO,OPS_AMP,OPS_PHA,OPS_MEAN,SPL_COEFF,SPL_EXP,BR_FRAC,BR_MX_MAIN,BR_MN_MAIN,BR_MX_BR,BR_DEST_LONWGS84,BR_DEST_LATWGS84,SOURCE,SOURCE_ELEVS,SOURCE_OPS,SOURCE_SPILL,SOURCE_BRAN
104471,0,0,10376,-91.999115,64.82946,none,Lake,11534945,197,196.999,196.998,186.6,0,0,0,56.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106367,0,0,13984,-111.834975,64.010922,none,Lake,11534279,437,436.999,436.998,426.6,0,0,0,56.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107946,0,0,16930,-102.640115,58.357546,none,Lake,11532743,398,397.999,397.998,387.6,0,0,0,55.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108310,0,0,17634,-105.200681,60.652371,none,Lake,11531648,411,410.999,410.998,400.6,0,0,0,58.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108327,0,0,17655,-103.740962,55.809794,none,Lake,11530165,367,366.999,366.998,356.6,0,0,0,56.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108003,0,0,17058,-92.539917,63.03684,none,Lake,11527467,35,34.999,34.998,24.6,0,0,0,57,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107639,0,0,16320,-61.510621,50.715649,none,Lake,11522151,136,135.999,135.998,125.6,0,0,0,56.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
101902,0,0,4926,-114.634646,68.453894,none,Lake,11519837,15,14.999,14.998,4.6,0,0,0,57.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105566,0,0,12512,155.094382,68.019724,none,Lake,11517794,37,36.999,36.998,26.6,0,0,0,56.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108211,0,0,17446,-98.662027,61.452123,none,Lake,11514880,226,225.999,225.998,215.6,0,0,0,58,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105994,0,0,13255,-92.954939,53.496154,none,Lake,11514206,262,261.999,261.998,251.6,0,0,0,57.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106354,0,0,13971,-67.994283,65.222664,none,Lake,11511135,199,198.999,198.998,188.6,0,0,0,57.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107942,0,0,16924,-99.287751,59.150551,none,Lake,11511049,275,274.999,274.998,264.6,0,0,0,56.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106190,0,0,13645,-102.866111,59.464677,none,Lake,11510124,419,418.999,418.998,408.6,0,0,0,56,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105766,0,0,12898,-85.567575,67.082611,none,Lake,11510018,50,49.999,49.998,39.6,0,0,0,57.3,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107724,0,0,16537,-97.845473,69.537819,none,Lake,11507940,48,47.999,47.998,37.6,0,0,0,56.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105499,0,0,12359,-67.003518,56.110406,none,Lake,11507313,405,404.999,404.998,394.6,0,0,0,55.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105042,0,0,11475,121.568635,66.704341,none,Lake,11505405,177,176.999,176.998,166.6,0,0,0,56.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105443,0,0,12260,-72.186733,57.459702,none,Lake,11504251,327,326.999,326.998,316.6,0,0,0,55.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105972,0,0,13232,-75.000354,60.966767,none,Lake,11503318,280,279.999,279.998,269.6,0,0,0,56.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107284,0,0,15684,-107.931913,63.371704,none,Lake,11496021,358,357.999,357.998,347.6,0,0,0,56.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107418,0,0,15946,-111.985132,66.15276,none,Lake,11495057,483,482.999,482.998,472.6,0,0,0,57.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107656,0,0,16397,-126.771058,66.930561,none,Lake,11493363,229,228.999,228.998,218.6,0,0,0,57.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106333,0,0,13902,-94.025135,50.563774,none,Lake,11491542,339,338.999,338.998,328.6,0,0,0,55.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107796,0,0,16632,-106.274666,54.409868,none,Lake,11489290,534,533.999,533.998,523.6,0,0,0,56.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106916,0,0,15010,-71.878983,52.968994,none,Lake,11486834,527,526.999,526.998,516.6,0,0,0,55.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105367,0,0,12125,105.284019,74.523704,none,Lake,11486753,121,120.999,120.998,110.6,0,0,0,56.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107285,0,0,15685,-109.75841,63.066513,none,Lake,11485972,320,319.999,319.998,309.6,0,0,0,56.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107056,0,0,15264,-69.160717,58.058925,none,Lake,11478263,180,179.999,179.998,169.6,0,0,0,56.2,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
103387,0,0,8126,-141.586895,61.16329,none,Lake,11478163,454,453.999,453.998,443.6,0,0,0,57.3,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
101649,0,0,12629,-100.802351,61.315271,none,Lake,11472575,278,277.999,277.998,267.6,0,0,0,51.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
